SU,Class,Count,Weight
3154,Bone,11,0.028
3160,Bone,1,0.001
3162,Bone,2,0.006
3164,Bone,1,0.088
3165,Bone,6,0.026
3166,Bone,,1.425
3167,Bone,,0.508
3168,Bone,,0.114
3171,Bone,,0.832
3172,Bone,,0.164
3176,Bone,6,0.1
3179,Bone,,0.072
3180,Bone,1,0.008
3181,Bone,2,0.02
3183,Bone,,0.108
3188,Bone,,0.116
3221,Bone,3,0.014
3223,Bone,1,0.008
3224,Bone,,
3226,Bone,,
3227,Bone,,2.58
3229,Bone,,0.03
3230,Bone,,0.064
3238,Bone,3,0.014
3256,Bone,,0.434
3257,Bone,5,0.018
3259,Bone,,1.59
3260,Bone,2,0.002
3263,Bone,,0.676
3264,Bone,1,0.128
3265,Bone,,0.022
3266,Bone,34,0.528
3268,Bone,16,0.046
3269,Bone,14,0.05
3270,Bone,2,0.008
3273,Bone,2,0.001
3275,Bone,,0.001
3276,Bone,,0.11
3278,Bone,1,0.001
3281,Bone,1,0.026
3282,Bone,,0.014
3285,Bone,16,0.016
3287,Bone,1,0.298
3288,Bone,1,0.29
3289,Bone,,0.014
3291,Bone,3,0.06
3296,Bone,3,0.001
3297,Bone,1,0.001
3298,Bone,10,0.05
3300,Bone,5,0.006
3301,Bone,3,0.01
3302,Bone,5,0.012
3303,Bone,5,0.016
3304,Bone,1,0.08
3305,Bone,1,0.368
3306,Bone,1,0.684
3307,Bone,1,0.001
3308,Bone,1,0.15
3310,Bone,1,0.324
3311,Bone,,0.048
3318,Bone,,0.292
3321,Bone,,0.042
3327,Bone,2,
3328,Bone,1,0.07
3329,Bone,,0.102
3330,Bone,1,0.14
3332,Bone,1,0.01
3333,Bone,,0.106
3334,Bone,5,0.012
3337,Bone,6,0.016
3338,Bone,,0.88
3339,Bone,,0.02
3347,Bone,,0.012
3348,Bone,1,0.001
3349,Bone,,0.029
3351,Bone,90,0.158
3352,Bone,,0.026
3353,Bone,,0.006
3354,Bone,3,0.018
3355,Bone,6,0.02
3356,Bone,,0.118
3358,Bone,,
3359,Bone,,0.234
3386,Bone,14,0.012
3387,Bone,5,0.008
3388,Bone,6,0.022
3389,Bone,3,0.016
3392,Bone,5,0.018
3393,Bone,11,0.016
3394,Bone,,
3396,Bone,88,0.481
3397,Bone,11,0.266
3405,Bone,13,0.006
3426,Bone,7,0.027
3427,Bone,30,0.034
3428,Bone,1,0.001
3430,Bone,6,0.012
3432,Bone,9,0.014
3436,Bone,4,0.001
3437,Bone,8,0.032
3439,Bone,,0.08
3442,Bone,12,0.152
3444,Bone,8,0.048
3445,Bone,11,0.001
3446,Bone,1,0.002
3447,Bone,10,0.024
3449,Bone,1,0.006
3450,Bone,40,0.163
3452,Bone,2,0.008
3453,Bone,29,0.032
3454,Bone,5,0.001
3455,Bone,3,0.008
3456,Bone,1,0.001
3457,Bone,2,0.018
3462,Bone,1,0.001
3464,Bone,,0.001
3466,Bone,12,0.018
3468,Bone,,0.01
3470,Bone,3,0.001
3472,Bone,7,0.098
3473,Bone,11,0.008
3474,Bone,3,0.012
3475,Bone,,0.014
3476,Bone,54,0.186
3479,Bone,30,0.014
3481,Bone,12,0.008
3482,Bone,5,0.01
3483,Bone,37,0.056
3485,Bone,110,0.1
3487,Bone,177,0.234
3488,Bone,11,0.006
3489,Bone,7,0.008
3490,Bone,1,0.001
3491,Bone,2,0.001
3492,Bone,14,0.03
3493,Bone,,0.012
3494,Bone,20,0.04
3495,Bone,3,0.001
3496,Bone,,0.006
3497,Bone,,0.001
3498,Bone,,0.014
3502,Bone,,0.032
3503,Bone,2,0.01
3505,Bone,2,0.006
3506,Bone,3,0.08
3507,Bone,27,0.076
3508,Bone,,0.054
3509,Bone,1,0.001
3511,Bone,,0.02
3512,Bone,56,0.112
3513,Bone,11,0.016
3514,Bone,,0.034
3515,Bone,41,0.158
3517,Bone,1,0.001
3518,Bone,,0.096
3519,Bone,1,0.001
3521,Bone,,0.026
3522,Bone,7,0.008
3526,Bone,,0.012
3527,Bone,13,0.064
3531,Bone,,0.006
3532,Bone,80,0.126
3541,Bone,,
3544,Bone,4,0.016
3548,Bone,,
3550,Bone,,0.038
3551,Bone,1,0.001
3552,Bone,1,0.001
3554,Bone,1,0.008
3556,Bone,12,0.016
3560,Bone,15,0.044
3563,Bone,3,0.022
3564,Bone,6,0.034
3566,Bone,1,0.001
3571,Bone,,0.148
3573,Bone,1,0.001
3575,Bone,18,0.018
3581,Bone,1,0.001
3582,Bone,1,0.008
3583,Bone,18,0.13
3587,Bone,1,
3590,Bone,,
3591,Bone,,0.028
3592,Bone,73,0.208
3593,Bone,1,0.001
3594,Bone,,
3598,Bone,,
3599,Bone,,
3600,Bone,6,0.012
3603,Bone,,0.168
3606,Bone,163,0.536
3607,Bone,,
3608,Bone,17,0.03
3611,Bone,19,0.119
3620,Bone,2,0.014
3621,Bone,27,0.014
3631,Bone,27,0.034
3635,Bone,,0.96
3642,Bone,,0.036
3649,Bone,1,0.012
3650,Bone,3,0.004
3652,Bone,4,0.001
3658,Bone,6,0.006
3659,Bone,2,0.001
3670,Bone,,0.022
3676,Bone,2,0.001
3677,Bone,,0.028
3684,Bone,,0.019
3690,Bone,11,0.038
3695,Bone,,0.01
3698,Bone,2,0.008
3699,Bone,3,0.006
3700,Bone,5,0.006
3705,Bone,,0.01
3706,Bone,,0.018
3707,Bone,19,0.042
3708,Bone,,0.01
3709,Bone,,0.112
