SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_END
3488,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.001,2,2,-700,-600
3489,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,8,8,0.034,2,4,-700,-600
3493,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,3,3,0.014,2,4,-700,-600
3498,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,2,3,0.01,2,3,-700,-600
3502,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.001,2,2,-700,-600
3508,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.001,2,2,-700,-600
3509,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,1,2,0.012,1,3,-700,-600
3514,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,8,8,0.036,2,4,-700,-600
3515,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,22,22,0.092,2,6,-700,-600
3521,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,3,4,0.008,1,4,-700,-600
3526,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,4,4,0.012,2,3,-700,-600
3526,White On Red,NULL,NULL,NULL,NULL,NULL,1,1,0.03,5,5,-700,-600
3550,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,3,3,0.006,2,3,-700,-600
3550,White On Red,NULL,NULL,NULL,NULL,NULL,2,2,0.042,4,5,-700,-600
3551,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,NULL,1,0.006,3,3,-700,-600
3556,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,1,2,0.008,3,3,-700,-600
3576,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.006,3,3,-700,-600
3583,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,11,12,0.088,2,6,-700,-600
3591,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,6,7,0.024,2,4,-700,-600
3592,Buccheroid Impasto,NULL,NULL,3,NULL,5,40,48,0.188,2,7,-700,-600
3600,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.001,2,3,-700,-600
3606,Buccheroid Impasto,NULL,NULL,1,NULL,2,11,14,0.048,2,4,-700,-600
3608,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,3,4,0.001,1,2,-700,-600
3621,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,3,4,0.012,2,3,-700,-600
3723,Buccheroid Impasto,NULL,NULL,NULL,3,NULL,1,4,0.022,2,3,-700,-600
3737,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,NULL,1,0.106,10,10,-700,-600
3741,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.004,2,2,-700,-600
3748,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.006,2,2,-700,-600
3756,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,4,5,0.034,2,7,-700,-600
3765,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,2,3,0.008,2,3,-700,-600
3770,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,2,4,0.026,3,5,-700,-600
5104,White On Red,NULL,NULL,1,NULL,NULL,NULL,1,0.018,4,4,-700,-600
5104,White On Red,NULL,NULL,1,NULL,NULL,NULL,1,0.018,4,4,-700,-600
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-700,-600
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-700,-600
3670,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,2,4,0.03,2,6,-700,-600
3700,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,3,4,0.01,2,3,-700,-600
3719,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,1,2,0.006,3,3,-700,-600
3729,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,1,3,0.028,2,5,-700,-600
3735,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,4,5,0.012,1,2,-700,-600
3738,Buccheroid Impasto,NULL,NULL,3,NULL,NULL,NULL,3,0.005,1,2,-700,-600
3742,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.07,3,10,-700,-600
3747,Buccheroid Impasto,NULL,NULL,3,1,1,2,7,0.088,3,8,-700,-600
3749,Buccheroid Impasto,NULL,NULL,2,1,NULL,3,6,0.014,2,4,-700,-600
3758,Buccheroid Impasto,NULL,NULL,3,NULL,NULL,8,11,0.034,1,4.5,-700,-600
3786,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.004,2,3,-700,-600
3789,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,NULL,1,0.008,3,3,-700,-600
3792,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,NULL,1,0.001,2,2,-700,-600
