SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX
415,Bucchero,NULL,NULL,1,NULL,NULL,3,4,NULL,NULL,NULL,675,BC,450,BC
415,Impasto,NULL,NULL,1,1,1,11,14,NULL,NULL,NULL,900,BC,500,BC
415,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,1,5,6,NULL,NULL,NULL,600,BC,400,BC
416,Black Gloss,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,400,BC,50,BC
416,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,675,BC,500,BC
416,Impasto,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,900,BC,500,BC
416,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,500,BC,400,BC
416,Impasto Rosso,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,800,BC,500,BC
419,Black Gloss,NULL,NULL,NULL,NULL,2,5,7,NULL,NULL,NULL,400,BC,50,BC
419,Bucchero,NULL,NULL,3,NULL,NULL,3,6,NULL,NULL,NULL,675,BC,450,BC
419,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,21,21,NULL,NULL,NULL,600,BC,500,BC
419,Impasto,NULL,NULL,49,1,17,608,675,NULL,NULL,NULL,900,BC,500,BC
419,Impasto Chiaro Sabbioso,NULL,NULL,7,4,4,72,88,NULL,NULL,NULL,500,BC,400,BC
419,Impasto Rosso,NULL,NULL,2,NULL,NULL,29,31,NULL,NULL,NULL,800,BC,500,BC
420,Impasto,NULL,NULL,NULL,NULL,NULL,3,3,0.027,2,3,900,BC,500,BC
422,Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,400,BC,50,BC
422,Impasto,NULL,NULL,NULL,NULL,NULL,22,22,NULL,NULL,NULL,800,BC,500,BC
422,Impasto,NULL,NULL,NULL,NULL,NULL,22,22,NULL,NULL,NULL,900,BC,500,BC
423,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,50,BC
425,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,50,BC
427,Impasto,NULL,NULL,12,1,3,213,228,NULL,NULL,NULL,500,BC,350,BC
427,Impasto,NULL,NULL,12,1,3,213,228,NULL,NULL,NULL,500,BC,350,BC
427,Impasto Chiaro Sabbioso,NULL,NULL,1,1,NULL,15,17,NULL,NULL,NULL,620,BC,300,BC
427,Impasto Rosso,NULL,NULL,6,NULL,NULL,11,17,NULL,NULL,NULL,720,BC,500,BC
427,Impasto Rosso,NULL,NULL,6,NULL,NULL,11,17,NULL,NULL,NULL,630,BC,590,BC
427,Impasto Rosso,NULL,NULL,6,NULL,NULL,11,17,NULL,NULL,NULL,630,BC,590,BC
427,Internal Slip Ware,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,420,BC,200,BC
427,Ionic Cup,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,625,BC,575,BC
430,Black Gloss,NULL,NULL,1,NULL,NULL,1,2,0.033,1.5,6,400,BC,50,BC
430,Impasto,NULL,NULL,3,NULL,NULL,28,31,0.335,2,6,900,BC,500,BC
431,Bucchero,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,675,BC,450,BC
431,Impasto,NULL,NULL,1,NULL,NULL,27,28,NULL,NULL,NULL,900,BC,500,BC
431,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,600,BC,400,BC
431,Italo Geometric,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,700,BC,600,BC
432,Bucchero,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,675,BC,450,BC
432,Impasto,NULL,NULL,8,NULL,2,33,43,NULL,NULL,NULL,900,BC,500,BC
432,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,600,BC,400,BC
433,Impasto,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,900,BC,500,BC
434,Impasto,NULL,NULL,NULL,NULL,1,2,3,NULL,NULL,NULL,900,BC,500,BC
